names,scores,logfoldchanges,pvals,pvals_adj
RNF34,0.7620955,1.2381294,0.446003016567027,1.0
ITGAV,0.76208323,0.60826933,0.44601032494289505,1.0
MALSU1,0.7612138,0.7128254,0.44652939393597657,1.0
CDC5L,0.7611403,0.33676603,0.4465732746715899,1.0
BARD1,0.76073617,0.94450104,0.44681466258237157,1.0
CDK19,0.7606627,1.4341458,0.44685855926805007,1.0
FAM219A,0.76062596,25.56073,0.4468805085309514,1.0
IGHMBP2,0.76062596,25.550062,0.4468805085309514,1.0
H2AFX,0.76055247,1.231683,0.4469244088968154,1.0
CRELD2,0.7603198,0.8556238,0.4470634429067526,1.0
PAK1IP1,0.75883806,0.7442632,0.44794944702915074,1.0
BOLA2-SMG1P6,0.75828695,0.93876183,0.44827920702893875,1.0
GBGT1,0.75827473,25.519781,0.4482865365945201,1.0
C5orf24,0.7577604,0.84961575,0.44859443980283975,1.0
INIP,0.7576379,0.88537145,0.44866776778275386,1.0
COG3,0.7572828,0.900914,0.4488804573979317,1.0
SLC35B2,0.75700116,1.253447,0.44904918294388985,1.0
MAZ,0.75638884,0.58887225,0.449416101724887,1.0
TSHZ3,0.7559235,25.5522,0.4496950736798805,1.0
GNPNAT1,0.755801,2.5855918,0.44976850366646226,1.0
PRKRA,0.7555194,0.41012517,0.4499374184282141,1.0
TMEM159,0.7552377,0.9121208,0.4501063691386402,1.0
SARS,0.75413555,0.6284608,0.4507678260608635,1.0
SLC9A1,0.7537437,2.6649,0.4510031433075875,1.0
DMAC2,0.7530212,2.5055342,0.4514371917126281,1.0
HMGXB4,0.7527885,0.9043551,0.45157702030075597,1.0
TRAF2,0.7524456,1.8322564,0.4517831281275294,1.0
TXNDC9,0.7518333,0.728975,0.452151310092452,1.0
TIA1,0.7514659,0.61233896,0.45237230065022926,1.0
UBN1,0.751319,0.66793805,0.4524607139591812,1.0
WDR26,0.7509883,0.6288723,0.45265967959570086,1.0
CPSF1,0.7507924,2.5215306,0.45277760847476833,1.0
CAMTA2,0.74837995,1.7870263,0.45423102906791535,1.0
PITHD1,0.74818397,0.8256881,0.454349188750064,1.0
GORASP1,0.74802476,1.432876,0.4544452062473746,1.0
TOPORS,0.7477309,0.94113576,0.45462249936044363,1.0
STOML2,0.7476084,0.3647521,0.45469638299181603,1.0
RMI2,0.747437,2.5547616,0.45479983144004643,1.0
